time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h)
2020-05-16,63,28.1,33.8,83,6.6
2020-05-17,63,26.2,31.7,90,6.3
2020-05-18,3,27.7,33.6,85,5.0
2020-05-19,51,29.1,35.1,79,6.7
2020-05-20,65,27.3,33.3,88,5.7
2020-05-21,63,27.7,33.7,84,4.3
2020-05-22,63,27.2,33.1,86,3.7
2020-05-23,63,26.6,32.6,89,3.5
2020-05-24,61,27.5,33.4,84,3.7
2020-05-25,63,27.7,33.8,85,5.0
2020-05-26,63,27.2,33.3,88,4.2
2020-05-27,63,27.4,33.4,83,3.1
2020-05-28,61,27.4,33.6,86,3.9
2020-05-29,63,27.0,32.6,85,4.0
2020-05-30,63,27.2,33.3,86,3.2
2020-05-31,63,27.3,33.3,87,5.3
2020-06-01,61,27.4,33.4,86,4.2
2020-06-02,61,27.7,33.9,84,3.6
2020-06-03,63,27.1,32.9,86,5.0
2020-06-04,65,26.4,32.1,88,4.0
2020-06-05,65,26.1,31.6,90,5.0
2020-06-06,51,26.6,31.7,84,4.0
2020-06-07,53,27.6,32.6,79,6.0
2020-06-08,51,27.9,33.4,78,3.3
2020-06-09,51,28.3,34.0,81,6.7
2020-06-10,61,27.6,33.1,83,6.4
2020-06-11,63,27.5,33.2,83,4.8
2020-06-12,63,26.5,31.7,85,5.6
2020-06-13,61,26.3,31.4,86,5.7
2020-06-14,51,26.9,31.6,82,7.0
2020-06-15,51,27.6,32.3,79,7.9
2020-06-16,61,26.9,32.5,85,4.3
2020-06-17,65,26.6,32.3,88,3.9
2020-06-18,61,26.0,31.5,89,4.6
2020-06-19,65,26.3,31.9,87,3.9
2020-06-20,61,25.4,30.7,90,4.4
2020-06-21,61,26.4,31.3,84,6.5
2020-06-22,63,26.8,31.6,82,7.0
2020-06-23,61,26.2,30.9,85,6.7
2020-06-24,53,26.6,31.0,83,8.5
2020-06-25,51,27.0,31.9,81,6.8
2020-06-26,63,26.6,31.6,81,4.9
2020-06-27,51,26.9,32.1,84,5.2
2020-06-28,55,27.1,32.3,84,7.2
2020-06-29,51,27.1,31.7,82,8.8
2020-06-30,61,27.4,32.2,81,7.8
2020-07-01,53,27.3,32.7,82,4.8
2020-07-02,53,27.6,32.4,79,7.7
2020-07-03,51,27.3,32.4,80,6.1
2020-07-04,61,26.9,32.1,83,5.1
2020-07-05,53,27.6,32.8,79,5.6
2020-07-06,65,26.8,31.9,83,5.4
2020-07-07,63,25.7,30.9,87,4.3
